"","Spell","Rune"
"1","Phalanx","Stampede"
"2","Akarat's Champion","Embodiment of Power"
"3","Laws of Valor","Unstoppable Force"
"4","Provoke","Flee Fool"
"5","Steed Charge","Endurance"
"6","Iron Skin","Steel Skin"
"7","Finery","Passive"
"8","Long Arm of the Law","Passive"
"9","Lord Commander","Passive"
"10","Fervor","Passive"
"11","Phalanx","Stampede"
"12","Iron Skin","Steel Skin"
"13","Steed Charge","Endurance"
"14","Provoke","Too Scared to Run"
"15","Laws of Valor","Unstoppable Force"
"16","Akarat's Champion","Prophet"
"17","Heavenly Strength","Passive"
"18","Lord Commander","Passive"
"19","Finery","Passive"
"20","Long Arm of the Law","Passive"
"21","Phalanx","Stampede"
"22","Iron Skin","Steel Skin"
"23","Laws of Valor","Unstoppable Force"
"24","Provoke","Charged Up"
"25","Akarat's Champion","Prophet"
"26","Steed Charge","Endurance"
"27","Heavenly Strength","Passive"
"28","Long Arm of the Law","Passive"
"29","Finery","Passive"
"30","Lord Commander","Passive"
"31","Shield Glare","Divine Verdict"
"32","Judgment","Resolved"
"33","Akarat's Champion","Prophet"
"34","Steed Charge","Draw and Quarter"
"35","Laws of Valor","Critical"
"36","Condemn","Vacuum"
"37","Long Arm of the Law","Passive"
"38","Towering Shield","Passive"
"39","Fervor","Passive"
"40","Indestructible","Passive"
"41","Heaven's Fury","Fires of Heaven"
"42","Shield Glare","Divine Verdict"
"43","Provoke","Too Scared to Run"
"44","Steed Charge","Endurance"
"45","Laws of Valor","Unstoppable Force"
"46","Akarat's Champion","Prophet"
"47","Heavenly Strength","Passive"
"48","Indestructible","Passive"
"49","Long Arm of the Law","Passive"
"50","Finery","Passive"
"51","Phalanx","Shield Glare"
"52","Divine Verdict","Laws of Valor"
"53","Unstoppable Force","Steed Charge"
"54","Endurance","Provoke"
"55","Charged Up","Akarat's Champion"
"56","Prophet","Long Arm of the Law"
"57","Heavenly Strength","Passive"
"58","Finery","Passive"
"59","Lord Commander","Passive"
"60",NA,"Passive"
"61","Phalanx","Stampede"
"62","Steed Charge","Endurance"
"63","Iron Skin","Steel Skin"
"64","Provoke","Charged Up"
"65","Laws of Valor","Unstoppable Force"
"66","Akarat's Champion","Prophet"
"67","Holy Cause","Passive"
"68","Finery","Passive"
"69","Long Arm of the Law","Passive"
"70","Heavenly Strength","Passive"
"71","Phalanx","Stampede"
"72","Provoke","Too Scared to Run"
"73","Laws of Valor","Unstoppable Force"
"74","Iron Skin","Steel Skin"
"75","Akarat's Champion","Prophet"
"76","Steed Charge","Endurance"
"77","Heavenly Strength","Passive"
"78","Long Arm of the Law","Passive"
"79","Lord Commander","Passive"
"80","Finery","Passive"
"81","Phalanx","Stampede"
"82","Iron Skin","Steel Skin"
"83","Akarat's Champion","Prophet"
"84","Provoke","Charged Up"
"85","Laws of Valor","Unstoppable Force"
"86","Steed Charge","Endurance"
"87","Heavenly Strength","Passive"
"88","Finery","Passive"
"89","Lord Commander","Passive"
"90","Long Arm of the Law","Passive"
"91","Phalanx","Stampede"
"92","Shield Glare","Divine Verdict"
"93","Steed Charge","Endurance"
"94","Laws of Hope","Wings of Angels"
"95","Akarat's Champion","Prophet"
"96","Provoke","Charged Up"
"97","Heavenly Strength","Passive"
"98","Lord Commander","Passive"
"99","Long Arm of the Law","Passive"
"100","Finery","Passive"
"101","Phalanx","Stampede"
"102","Iron Skin","Steel Skin"
"103","Steed Charge","Endurance"
"104","Laws of Valor","Unstoppable Force"
"105","Akarat's Champion","Prophet"
"106","Provoke","Charged Up"
"107","Long Arm of the Law","Passive"
"108","Holy Cause","Passive"
"109","Heavenly Strength","Passive"
"110","Lord Commander","Passive"
"111","Phalanx","Stampede"
"112","Iron Skin","Steel Skin"
"113","Steed Charge","Endurance"
"114","Laws of Valor","Unstoppable Force"
"115","Akarat's Champion","Prophet"
"116","Provoke","Charged Up"
"117","Long Arm of the Law","Passive"
"118","Heavenly Strength","Passive"
"119","Finery","Passive"
"120","Lord Commander","Passive"
"121","Phalanx","Stampede"
"122","Steed Charge","Endurance"
"123","Provoke","Charged Up"
"124","Iron Skin","Steel Skin"
"125","Laws of Valor","Unstoppable Force"
"126","Akarat's Champion","Prophet"
"127","Heavenly Strength","Passive"
"128","Finery","Passive"
"129","Lord Commander","Passive"
"130","Long Arm of the Law","Passive"
"131","Phalanx","Stampede"
"132","Iron Skin","Steel Skin"
"133","Steed Charge","Endurance"
"134","Provoke","Charged Up"
"135","Laws of Valor","Unstoppable Force"
"136","Akarat's Champion","Prophet"
"137","Heavenly Strength","Passive"
"138","Lord Commander","Passive"
"139","Finery","Passive"
"140","Long Arm of the Law","Passive"
"141","Phalanx","Stampede"
"142","Provoke","Charged Up"
"143","Steed Charge","Endurance"
"144","Akarat's Champion","Prophet"
"145","Laws of Valor","Unstoppable Force"
"146","Shield Glare","Divine Verdict"
"147","Finery","Passive"
"148","Holy Cause","Passive"
"149","Lord Commander","Passive"
"150","Heavenly Strength","Passive"
"151","Heaven's Fury","Fires of Heaven"
"152","Steed Charge","Endurance"
"153","Condemn","Vacuum"
"154","Provoke","Too Scared to Run"
"155","Laws of Valor","Critical"
"156","Akarat's Champion","Prophet"
"157","Heavenly Strength","Passive"
"158","Finery","Passive"
"159","Holy Cause","Passive"
